user_id time_stamp(seconds) query_length response_length round_index
38373 32400 22 8 0
37115 32402 14 38 0
35779 32403 26 32 0
35178 32405 28 2 0
35988 32405 10 44 0
46741 32405 6 14 0
41548 32406 6 36 0
42507 32410 6 38 0
47968 32411 12 24 0
35849 32412 12 6 0
45869 32412 10 36 0
41626 32414 14 30 0
45862 32414 14 4 0
36556 32416 26 18 0
39696 32416 12 34 0
44771 32418 22 4 0
46894 32422 28 24 0
47812 32422 12 2 0
44456 32423 10 2 0
36129 32424 32 50 0
47571 32424 18 34 0
45862 32425 32 136 1
46741 32426 34 32 1
47061 32426 6 46 0
39560 32427 50 38 0
42769 32427 26 18 0
45498 32427 34 44 0
42939 32428 20 36 0
44598 32428 18 22 0
46842 32429 18 44 0
37102 32430 18 36 0
43201 32430 28 58 0
38161 32431 42 34 0
43638 32431 16 30 0
36595 32433 20 50 0
37087 32433 12 12 0
45666 32433 22 18 0
35779 32434 16 38 1
36556 32435 22 32 1
40507 32435 56 68 0
36336 32437 6 28 0
39839 32437 58 36 0
40556 32437 20 32 0
45604 32437 20 46 0
36335 32439 14 14 0
41342 32439 46 44 0
41548 32439 20 68 1
37007 32441 24 26 0
41626 32441 10 24 1
45869 32441 24 50 1
46152 32442 2 18 0
36218 32443 2 2 0
38453 32443 16 44 0
42558 32443 48 28 0
46131 32444 44 44 0
35988 32445 52 126 1
41423 32445 16 6 0
47165 32445 18 2 0
47305 32445 8 36 0
37684 32446 36 32 0
41953 32446 8 40 0
42769 32448 12 64 1
36227 32449 24 30 0
39662 32449 48 48 0
46894 32451 44 26 1
36302 32452 30 4 0
36810 32452 8 118 0
39579 32452 16 44 0
45666 32452 6 22 1
45717 32452 20 34 0
36379 32454 18 26 0
41051 32454 62 22 0
43314 32454 42 32 0
35717 32455 20 26 0
37087 32456 24 38 1
44041 32456 92 40 0
36333 32457 8 14 0
36335 32457 26 54 1
39560 32458 6 48 1
47683 32458 22 44 0
37115 32459 126 64 1
38161 32459 8 22 1
43373 32459 8 38 0
44598 32460 36 36 1
45498 32460 18 76 1
39696 32461 40 118 1
40027 32461 10 2 0
41626 32461 2 142 2
42939 32461 30 60 1
43381 32461 26 62 0
46152 32461 10 32 1
35511 32462 28 38 0
36655 32462 38 20 0
47849 32462 10 24 0
36302 32463 12 192 1
39839 32464 14 14 1
46088 32464 8 4 0
39034 32465 30 34 0
46842 32465 28 24 1
41423 32466 24 22 1
42481 32466 72 54 0
47061 32466 12 26 1
47968 32467 52 44 1
45604 32468 10 32 1
36556 32469 14 20 2
46606 32469 18 126 0
38627 32470 18 68 0
36333 32471 8 22 1
39832 32471 26 6 0
42959 32471 100 50 0
44554 32471 8 94 0
36322 32472 20 30 0
42487 32472 16 52 0
35779 32473 18 70 2
36120 32473 20 16 0
37239 32473 6 50 0
37684 32473 18 26 1
41667 32473 22 46 0
37102 32475 30 26 1
42507 32475 76 70 1
45058 32475 24 56 0
35783 32476 20 46 0
37007 32476 50 8 1
40314 32476 28 38 0
40556 32476 50 54 1
40646 32476 14 52 0
43985 32476 26 30 0
45666 32476 22 14 2
40426 32477 12 24 0
43201 32477 14 62 1
35592 32478 16 30 0
36336 32478 98 22 1
38166 32478 30 50 0
42009 32478 24 26 0
35717 32479 12 56 1
36834 32479 24 24 0
47305 32479 22 20 1
37565 32480 20 4 0
41051 32480 14 48 1
45869 32480 4 54 2
42558 32481 32 16 1
45717 32481 14 54 1
37412 32482 20 52 0
38373 32482 88 36 1
41874 32482 22 30 0
42350 32482 24 42 0
47039 32482 12 24 0
40196 32483 6 18 0
36129 32484 42 10 1
36227 32484 56 34 1
36595 32484 40 90 1
38161 32484 20 42 2
46131 32484 30 34 1
36379 32485 32 28 1
47061 32485 10 34 2
37873 32486 18 28 0
41036 32486 20 20 0
41548 32486 30 30 2
44041 32486 10 36 1
46600 32486 20 16 0
39250 32487 30 54 0
39579 32487 22 74 1
43638 32487 98 48 1
46894 32487 56 46 2
37484 32488 16 10 0
39560 32488 18 70 2
39839 32488 22 86 2
35375 32489 16 2 0
46082 32489 12 22 0
36655 32490 12 38 1
41557 32490 14 38 0
39662 32491 48 38 1
41953 32491 34 38 1
44068 32491 14 2 0
44334 32491 22 24 0
36038 32492 20 34 0
37007 32492 8 48 2
37087 32492 22 52 2
41423 32492 20 34 2
44598 32492 28 34 2
46235 32492 30 28 0
47683 32492 6 10 1
47672 32493 24 24 0
35251 32494 4 30 0
39034 32494 20 48 1
39459 32494 18 28 0
41366 32494 26 4 0
42769 32494 2 30 2
35912 32495 20 28 0
35498 32496 8 4 0
37204 32496 28 18 0
47666 32496 10 36 0
35186 32497 20 22 0
37538 32497 24 46 0
42009 32497 8 38 1
35863 32498 30 16 0
36805 32498 26 14 0
37684 32498 16 58 2
39302 32498 90 22 0
42007 32498 46 34 0
43709 32498 12 24 0
45305 32498 20 28 0
36129 32499 18 72 2
36336 32499 8 12 2
43346 32499 22 110 0
36120 32500 20 18 1
41117 32501 20 14 0
36322 32502 22 42 1
36335 32502 16 66 2
37102 32502 28 46 2
37297 32502 18 10 0
38991 32502 20 18 0
42481 32502 28 30 1
44317 32502 12 2 0
36834 32503 8 56 1
43985 32503 8 154 1
47746 32503 58 36 0
40426 32504 18 72 1
42959 32504 14 34 1
35592 32506 22 40 1
37115 32506 56 32 2
39497 32506 12 40 0
40507 32506 42 18 1
36203 32507 22 30 0
38249 32507 18 30 0
47305 32507 30 160 2
37587 32508 32 36 0
42558 32508 20 78 2
46082 32508 8 38 1
37484 32509 12 14 1
40748 32509 10 4 0
41342 32509 62 30 1
43087 32510 44 34 0
45604 32510 36 30 2
46600 32510 28 42 1
36556 32511 98 72 3
37873 32511 12 70 1
40314 32511 22 36 1
47039 32511 28 30 1
35511 32512 52 26 1
46982 32512 24 48 0
36379 32513 10 40 2
35659 32514 18 40 0
36805 32514 12 40 1
40646 32514 18 64 1
36336 32515 18 26 3
43381 32515 30 150 1
47061 32515 20 28 3
47968 32515 36 56 2
35244 32516 26 2 0
36333 32516 48 60 2
41051 32516 22 12 2
44041 32516 18 26 2
46741 32516 84 8 2
37239 32517 18 34 1
37305 32517 30 38 0
40898 32517 12 14 0
41117 32517 14 50 1
41548 32517 22 66 3
47672 32517 12 46 1
38166 32518 10 26 1
45862 32518 26 132 2
46131 32518 28 46 2
46842 32518 88 36 2
35717 32519 10 36 2
41423 32519 20 32 3
35912 32520 22 68 1
36227 32520 12 72 2
42350 32520 30 48 1
42507 32520 10 28 2
44334 32520 30 58 1
45058 32520 20 30 1
47420 32520 8 16 0
35251 32521 8 36 1
35779 32521 16 40 3
35863 32521 30 38 1
36783 32521 8 50 0
39302 32521 8 24 1
40556 32521 20 60 2
36120 32522 24 58 2
38453 32522 66 12 1
41874 32522 74 34 1
42175 32522 14 24 0
47683 32522 48 24 2
36038 32523 24 64 1
38234 32523 26 46 0
39459 32523 26 56 1
41557 32523 14 38 1
41667 32523 28 14 1
42487 32523 26 20 1
46398 32523 18 42 0
47169 32523 24 4 0
47445 32523 28 28 0
47666 32523 12 50 1
38373 32524 30 50 2
39662 32524 10 12 2
40233 32524 20 34 0
47849 32524 100 46 1
47882 32524 60 42 0
38991 32525 10 32 1
40196 32525 54 18 1
41953 32525 30 22 2
43201 32525 30 40 2
40879 32526 10 10 0
40898 32526 16 20 1
42149 32526 22 50 0
36827 32527 20 2 0
38898 32527 22 56 0
36810 32528 4 56 1
37297 32528 54 72 1
42481 32528 28 36 2
45666 32528 58 52 3
37757 32529 20 26 0
38627 32529 26 76 1
39753 32529 6 46 0
40219 32529 26 10 0
44448 32529 42 52 0
45717 32529 12 60 2
35988 32530 28 28 2
46741 32530 8 18 3
37538 32531 12 30 1
39250 32531 22 28 1
41140 32531 22 10 0
45498 32531 46 192 2
38161 32532 50 12 3
40507 32532 12 70 2
43314 32532 66 32 1
44554 32532 20 20 1
35365 32533 42 54 0
35871 32533 12 2 0
36203 32533 18 14 1
36565 32533 12 32 0
37484 32533 18 96 2
41051 32533 18 52 3
41342 32533 14 12 2
42009 32533 6 28 2
44598 32533 30 30 3
44662 32533 16 26 0
45869 32533 30 14 3
47746 32533 14 92 1
36336 32534 2 40 4
43295 32534 156 4 0
36101 32535 12 2 0
37684 32535 8 16 3
43373 32535 102 56 1
44481 32535 16 2 0
37087 32536 18 48 3
38249 32536 22 52 1
39272 32536 2 58 0
42959 32536 24 46 2
43087 32536 2 18 1
39696 32537 6 64 2
47129 32537 20 42 0
39034 32538 50 28 2
39497 32538 8 122 1
39597 32538 12 2 0
46235 32538 44 14 1
38453 32539 24 52 2
39996 32539 18 32 0
40264 32539 6 48 0
37442 32540 108 24 0
42236 32540 14 32 0
42769 32540 92 68 3
46894 32540 38 36 3
35592 32541 20 44 2
38166 32541 12 18 2
39560 32541 14 146 3
40196 32541 14 44 2
46082 32541 20 142 2
47039 32541 30 22 2
36240 32542 12 40 0
37007 32542 22 30 3
39579 32542 12 20 2
40314 32542 28 44 2
40879 32542 18 52 1
41036 32542 44 28 1
43709 32542 74 36 1
41667 32543 24 16 2
42507 32543 10 54 3
42939 32543 58 40 2
47420 32543 8 46 1
35717 32544 18 44 3
36595 32544 12 42 2
37251 32544 32 26 0
41342 32544 2 30 3
47571 32544 146 48 1
39302 32545 20 44 2
39662 32545 14 32 3
45058 32545 10 64 2
47445 32545 4 60 1
35186 32547 62 48 1
37587 32547 20 44 1
39839 32547 22 40 3
45604 32547 26 30 3
40219 32548 26 36 1
42175 32548 14 42 1
35251 32549 22 54 2
35868 32549 18 36 0
41140 32549 18 46 1
41423 32549 26 56 4
44662 32549 16 58 1
46842 32549 12 32 3
47061 32549 22 36 4
35779 32550 8 48 4
35819 32550 10 38 0
36322 32550 50 78 2
36379 32550 24 58 3
37115 32550 40 46 3
38930 32550 12 40 0
43608 32550 4 30 0
44554 32550 6 70 2
45638 32550 8 40 0
46600 32550 22 22 2
42487 32551 24 58 2
36203 32552 24 130 2
42272 32553 16 18 0
35498 32554 102 50 1
35988 32554 14 106 3
37708 32554 20 44 0
38323 32554 14 42 0
41953 32554 18 32 3
42481 32554 18 22 3
43295 32554 26 2 1
45290 32554 12 34 0
36805 32555 32 30 2
41120 32555 78 44 0
37102 32556 48 44 3
42331 32556 32 44 0
35511 32557 38 46 2
36030 32557 24 20 0
36129 32557 32 48 3
36335 32557 28 72 3
37402 32557 24 2 0
46606 32557 12 78 1
39328 32558 2 20 0
40426 32558 6 32 2
41117 32558 14 94 2
37204 32559 96 42 1
37538 32559 16 2 2
41505 32559 16 44 0
42545 32559 20 36 0
43087 32559 30 38 2
38166 32560 16 38 3
38373 32560 2 58 3
39753 32560 18 54 1
41874 32560 44 68 2
46618 32560 18 48 0
35863 32561 40 44 2
36333 32561 12 40 3
36834 32561 32 58 2
37239 32561 50 18 2
37442 32561 4 44 1
41773 32561 14 36 0
37680 32562 8 10 0
37757 32562 10 28 1
38161 32562 54 88 4
46982 32562 46 60 1
47461 32562 12 16 0
43201 32563 36 70 3
43638 32563 88 16 2
45305 32563 86 82 1
35659 32564 32 36 1
